id	initL	initR	finalL	finalR	message (DEL=deleted NOC=no change MOD=modified)
243	0	9247	128	9231	MOD	skipped 0 overlaps; used 49 overlaps
244	0	6026	15	6026	MOD	skipped 0 overlaps; used 35 overlaps
245	0	6242	0	6241	MOD	skipped 0 overlaps; used 24 overlaps
246	0	4386	0	4352	MOD	skipped 0 overlaps; used 17 overlaps
247	0	5561	52	5560	MOD	skipped 0 overlaps; used 43 overlaps
248	0	7502	80	7497	MOD	skipped 0 overlaps; used 36 overlaps
249	0	8573	0	8567	MOD	skipped 0 overlaps; used 325 overlaps
250	0	2258	59	2244	MOD	skipped 0 overlaps; used 34 overlaps
251	0	1933	0	1922	MOD	skipped 0 overlaps; used 24 overlaps
252	0	1871	12	1871	MOD	skipped 0 overlaps; used 25 overlaps
253	0	8618	0	8617	MOD	skipped 0 overlaps; used 36 overlaps
254	0	15140	0	15124	MOD	skipped 0 overlaps; used 55 overlaps
255	0	16227	35	16201	MOD	skipped 0 overlaps; used 48 overlaps
256	0	1585	0	1585	NOC	skipped 0 overlaps; used 7 overlaps
257	0	26893	22	26892	MOD	skipped 0 overlaps; used 120 overlaps
258	0	13434	38	13433	MOD	skipped 0 overlaps; used 42 overlaps
259	0	7725	8	7720	MOD	skipped 0 overlaps; used 35 overlaps
260	0	14810	20	14809	MOD	skipped 0 overlaps; used 78 overlaps
261	0	726	0	726	DEL	skipped 0 overlaps; used 22 overlaps
262	0	3225	45	3225	MOD	skipped 0 overlaps; used 16 overlaps
263	0	6247	23	6246	MOD	skipped 0 overlaps; used 43 overlaps
264	0	20341	5	20340	MOD	skipped 0 overlaps; used 336 overlaps
265	0	3036	0	3036	NOC	skipped 0 overlaps; used 25 overlaps
266	0	1695	0	1679	MOD	skipped 0 overlaps; used 13 overlaps
267	0	1706	4	1706	MOD	skipped 0 overlaps; used 13 overlaps
268	0	16987	11	16970	MOD	skipped 0 overlaps; used 70 overlaps
269	0	1644	0	1644	NOC	skipped 0 overlaps; used 23 overlaps
270	0	2660	28	2659	MOD	skipped 0 overlaps; used 25 overlaps
271	0	8683	44	8652	MOD	skipped 0 overlaps; used 35 overlaps
272	0	10962	0	10936	MOD	skipped 0 overlaps; used 44 overlaps
273	0	4733	20	4733	MOD	skipped 0 overlaps; used 142 overlaps
274	0	25551	15	25551	MOD	skipped 0 overlaps; used 97 overlaps
275	0	1721	0	1721	NOC	skipped 0 overlaps; used 15 overlaps
276	0	1895	0	1884	MOD	skipped 0 overlaps; used 23 overlaps
277	0	3842	0	3824	MOD	skipped 0 overlaps; used 26 overlaps
278	0	3338	57	3334	MOD	skipped 0 overlaps; used 18 overlaps
279	0	10782	18	10758	MOD	skipped 0 overlaps; used 42 overlaps
280	0	11071	0	11071	NOC	skipped 0 overlaps; used 39 overlaps
281	0	3068	3	2949	MOD	skipped 0 overlaps; used 27 overlaps
282	0	7728	0	7728	NOC	skipped 0 overlaps; used 19 overlaps
283	0	3778	0	3767	MOD	skipped 0 overlaps; used 24 overlaps
284	0	9062	174	9051	MOD	skipped 0 overlaps; used 200 overlaps
285	0	9994	373	9919	MOD	skipped 0 overlaps; used 182 overlaps
286	0	7611	14	7610	MOD	skipped 0 overlaps; used 51 overlaps
287	0	0	0	0	NOV
288	0	28849	4	28848	MOD	skipped 0 overlaps; used 91 overlaps
289	0	17435	26	17434	MOD	skipped 0 overlaps; used 43 overlaps
290	0	3113	0	3110	MOD	skipped 0 overlaps; used 30 overlaps
291	0	10337	3	10333	MOD	skipped 0 overlaps; used 46 overlaps
292	0	22714	0	22684	MOD	skipped 0 overlaps; used 68 overlaps
293	0	0	0	0	NOV
294	0	1767	0	1767	NOC	skipped 0 overlaps; used 26 overlaps
295	0	1758	0	1699	MOD	skipped 0 overlaps; used 26 overlaps
296	0	3819	0	3819	NOC	skipped 0 overlaps; used 27 overlaps
297	0	18242	73	18241	MOD	skipped 0 overlaps; used 226 overlaps
298	0	2673	5	2671	MOD	skipped 0 overlaps; used 33 overlaps
299	0	1324	9	1324	MOD	skipped 0 overlaps; used 24 overlaps
300	0	20237	15	20237	MOD	skipped 0 overlaps; used 59 overlaps
301	0	22549	53	22549	MOD	skipped 0 overlaps; used 80 overlaps
302	0	7383	0	7382	MOD	skipped 0 overlaps; used 42 overlaps
303	0	3139	28	3139	MOD	skipped 0 overlaps; used 28 overlaps
304	0	1934	0	1934	NOC	skipped 0 overlaps; used 22 overlaps
305	0	4492	49	4491	MOD	skipped 0 overlaps; used 29 overlaps
306	0	0	0	0	NOV
307	0	22047	32	22018	MOD	skipped 0 overlaps; used 57 overlaps
308	0	3082	3	3082	MOD	skipped 0 overlaps; used 27 overlaps
309	0	3076	0	3076	NOC	skipped 0 overlaps; used 27 overlaps
310	0	18739	21	18713	MOD	skipped 0 overlaps; used 67 overlaps
311	0	19115	13	19104	MOD	skipped 0 overlaps; used 57 overlaps
312	0	2150	0	2145	MOD	skipped 0 overlaps; used 25 overlaps
313	0	8128	0	8128	NOC	skipped 0 overlaps; used 41 overlaps
314	0	7874	25	7852	MOD	skipped 0 overlaps; used 35 overlaps
315	0	13258	0	12242	MOD	skipped 0 overlaps; used 43 overlaps
316	0	1257	0	1231	MOD	skipped 0 overlaps; used 24 overlaps
317	0	6022	32	6022	MOD	skipped 0 overlaps; used 40 overlaps
318	0	4867	8	4866	MOD	skipped 0 overlaps; used 37 overlaps
319	0	6293	37	6283	MOD	skipped 0 overlaps; used 33 overlaps
320	0	4647	40	4632	MOD	skipped 0 overlaps; used 36 overlaps
321	0	4624	143	4624	MOD	skipped 0 overlaps; used 22 overlaps
322	0	3677	95	3670	MOD	skipped 0 overlaps; used 21 overlaps
323	0	6801	20	6800	MOD	skipped 0 overlaps; used 44 overlaps
324	0	2356	3	2356	MOD	skipped 0 overlaps; used 17 overlaps
325	0	2358	6	2358	MOD	skipped 0 overlaps; used 17 overlaps
326	0	865	9	865	DEL	skipped 0 overlaps; used 20 overlaps
327	0	1999	7	1967	MOD	skipped 0 overlaps; used 28 overlaps
328	0	5187	47	5187	MOD	skipped 0 overlaps; used 35 overlaps
329	0	5258	0	5249	MOD	skipped 0 overlaps; used 36 overlaps
330	0	5142	0	5142	NOC	skipped 0 overlaps; used 36 overlaps
331	0	5195	9	5195	MOD	skipped 0 overlaps; used 36 overlaps
332	0	10088	0	10088	NOC	skipped 0 overlaps; used 30 overlaps
333	0	12043	38	12042	MOD	skipped 0 overlaps; used 46 overlaps
334	0	10054	12	10054	MOD	skipped 0 overlaps; used 45 overlaps
335	0	1456	11	1392	MOD	skipped 0 overlaps; used 19 overlaps
336	0	2144	0	2065	MOD	skipped 0 overlaps; used 44 overlaps
337	0	8674	12	8660	MOD	skipped 0 overlaps; used 36 overlaps
338	0	12846	25	12845	MOD	skipped 0 overlaps; used 42 overlaps
339	0	8899	0	8898	MOD	skipped 0 overlaps; used 37 overlaps
340	0	15622	24	15622	MOD	skipped 0 overlaps; used 72 overlaps
341	0	2756	1	2756	MOD	skipped 0 overlaps; used 34 overlaps
342	0	2778	22	2778	MOD	skipped 0 overlaps; used 34 overlaps
343	0	11785	1	11770	MOD	skipped 0 overlaps; used 52 overlaps
344	0	8640	12	8625	MOD	skipped 0 overlaps; used 39 overlaps
345	0	10391	0	10360	MOD	skipped 0 overlaps; used 41 overlaps
346	0	6697	32	6678	MOD	skipped 0 overlaps; used 25 overlaps
347	0	4836	14	4836	MOD	skipped 0 overlaps; used 39 overlaps
348	0	7546	60	7546	MOD	skipped 0 overlaps; used 37 overlaps
349	0	11739	80	11708	MOD	skipped 0 overlaps; used 59 overlaps
350	0	11431	0	11392	MOD	skipped 0 overlaps; used 88 overlaps
351	0	0	0	0	NOV
352	0	5005	9	5005	MOD	skipped 0 overlaps; used 28 overlaps
353	0	2452	29	2449	MOD	skipped 0 overlaps; used 29 overlaps
354	0	3841	125	3833	MOD	skipped 0 overlaps; used 28 overlaps
355	0	2884	33	2689	MOD	skipped 0 overlaps; used 20 overlaps
356	0	1370	13	1370	MOD	skipped 0 overlaps; used 27 overlaps
357	0	7453	8	7453	MOD	skipped 0 overlaps; used 34 overlaps
358	0	3891	10	3890	MOD	skipped 0 overlaps; used 31 overlaps
359	0	4874	0	4874	NOC	skipped 0 overlaps; used 33 overlaps
360	0	12718	4	12717	MOD	skipped 0 overlaps; used 53 overlaps
361	0	4820	0	4820	NOC	skipped 0 overlaps; used 32 overlaps
362	0	12688	23	12687	MOD	skipped 0 overlaps; used 93 overlaps
363	0	7164	0	7164	NOC	skipped 0 overlaps; used 30 overlaps
364	0	1080	0	1077	MOD	skipped 0 overlaps; used 18 overlaps
365	0	3763	22	3763	MOD	skipped 0 overlaps; used 25 overlaps
366	0	4316	11	4275	MOD	skipped 0 overlaps; used 33 overlaps
367	0	9743	0	9742	MOD	skipped 0 overlaps; used 53 overlaps
368	0	2371	1	2364	MOD	skipped 0 overlaps; used 28 overlaps
369	0	0	0	0	NOV
370	0	3498	33	3482	MOD	skipped 0 overlaps; used 25 overlaps
371	0	0	0	0	NOV
372	0	1035	0	1035	NOC	skipped 0 overlaps; used 17 overlaps
373	0	0	0	0	NOV
374	0	0	0	0	NOV
375	0	8832	0	8832	NOC	skipped 0 overlaps; used 31 overlaps
376	0	4813	0	4796	MOD	skipped 0 overlaps; used 43 overlaps
377	0	21786	14	21786	MOD	skipped 0 overlaps; used 78 overlaps
378	0	10770	0	10763	MOD	skipped 0 overlaps; used 67 overlaps
379	0	9991	87	9984	MOD	skipped 0 overlaps; used 33 overlaps
