     read       raw corrected
       id    length    length
--------- --------- ---------
     1320      1799      1697
     1321      2213      1773
     1322     14130     13501
     1323     28624     27705
     1324     25943     23914
     1327     19966     20130
     1328     20694     19491
     1329      2778      2779
     1330      5510      5002
     1331      3767      3346
     1332      1745      1505
     1333      1986      1828
     1334     17751     17515
     1335     36217     34921
     1336     16392     17083
     1337     14545     13697
     1338     11013      8716
     1339      4092      3396
     1340     19850     19281
     1341     10580      9794
     1343     12618     11850
     1344     17748     17037
     1345      4317      1811
     1347      8319      6162
     1348     12053     11205
     1349      4335      3925
     1350      8322      7989
     1351      7211      6757
     1352     22140     20240
     1353     11446     10956
     1354     10591      4952
     1355      3379      3111
     1356      9656      8677
     1357      3389      3402
     1358     15884     13986
     1359      3580      3420
     1360      9487      8858
     1361     11923     10968
     1362      5602      5285
     1363      8734      8400
     1364     16401     15342
     1366     30178     27998
     1368      3362      3148
     1369     14374     13484
     1370     14684      5286
     1371      3665      3112
     1372      1934      1616
     1373      1881      1669
     1374     11292     11298
     1375     20859     20154
     1376      5508      5423
     1377     16751     15633
     1378     19689     18279
     1379     19403     18363
     1380     17499     17688
     1381     24797     23611
     1382     12280     11860
     1383     19336     18210
     1384      1550      1452
     1385     21417     20034
     1386     12216     10319
     1387      1938      1752
     1388     15376     13355
     1389     16559     15217
     1390     21385     19980
     1391      5658      5406
     1392      5289      5085
     1393      5395      5078
     1394     17778     17196
     1395     16722      8733
     1396     10706      9292
     1397      2211      2092
     1400     10620      9799
     1402      9024      8231
     1403      7641      7724
     1404      7482      3623
     1405      3642      3190
     1406     13237     12454
     1407      6406      5850
     1408     16547      7617
     1409      8862      6333
     1410     19340     17463
     1411      9880      3870
     1412     13203     11155
     1413      6410      4476
     1414     13775     12976
     1415      6424      6034
     1416      9624      9361
     1417      5053      3987
     1418      1112       926
     1421      8139      8015
     1422     10973     10589
     1423     11762     11483
     1424     16942     16896
     1426     16555     13769
     1427      1696      1520
     1428      3745      3533
     1429      5930      5578
     1430     15529     16388
     1431      5370      5105
     1432     33518     32279
     1433      8332      7209
     1434      3913      3372
     1435     21358     19888
     1436     13629     12602
     1437      5512      5266
     1438     18956     17430
     1440     17597     16438
     1441      5409      4217
     1442     16888     15415
     1443     10215      9898
     1444      9708      9090
     1445     13519     13076
     1446      3965      2868
     1447      6824      6178
     1449      8245      7365
     1451      1004       677
     1454      9457      7962
     1455      7959      7421
     1456      9223      8350
     1457     15419      8420
     1458     12427      6542
     1459      3677      2761
     1461     17139     17017
     1462     12991     10522
     1463     12473     11876
     1464      5087      4364
     1465     14825     14340
     1466     13938     13305
     1467      2764      2322
     1468      4901      4707
     1472     13801     12310
     1473      7629      5724
     1474      4823      4463
     1475     13045     11908
     1476      8483      8164
     1478     19926     20859
     1479     13889     14143
     1480     15359     14661
     1481      5385      5174
     1482     12333     11456
     1483      3902      3676
     1484      7733      6283
     1485      9019      8323
     1486     12905     12663
     1487     26769     23061
     1488      5872      4539
     1489      6055      5960
     1490      6866      6380
     1491     21481     20050
     1492     12664     11547
     1493     20813     10978
     1494     12579     12268
     1495      9280      7645
     1496      5032      4929
     1497     27442     25806
     1498      4722      4549
     1499     19870     19103
     1500      9883      9247
     1501     13526     11853
     1502     20729     19076
     1503     13391     12260
     1504     16021     16104
     1506     20770     19231
     1508     16018     13969
     1509      5280      4736
     1510     13565     13926
     1511      1080      1018
     1512      4614      4240
     1514      2444      2193
     1515      2374      2206
     1516      2377      2115
     1518      3802      3687
     1519      2077      1522
     1520      7601      6791
     1521     13289     12877
     1522      2643      1875
     1523      3899      3751
     1524      9336      7839
     1526     31394     26364
     1527     16156     16828
     1528     10968     10035
     1529     18453     17423
     1530      4533      4507
     1531     13438     12562
     1532     18406     18425
     1533      4221      2935
     1534     16013     14863
     1535      3727      3084
     1536      3541      3377
     1537      3638      3388
     1538      3576      3365
     1539      8164      8193
     1540     21724     19907
     1541     11488     11003
     1542     14856     14045
     1543      6785      6297
     1544      3924      1985
     1545     13237     12284
     1546      7022      6677
     1548     10783      5931
     1549     14192     12400
     1550      8414      7753
     1551     22686     21736
     1552      8116      7672
     1553      3753      3666
     1554     18450     17603
     1555     15068     14585
     1556      3641      2500
     1557      8775      8134
     1559     17369     17191
     1560     16113     15056
     1561     22726     20960
     1563     11337     11322
     1564     20545      7460
     1565     21781     21222
     1566     21677     19462
     1567     12715     10635
     1569      1738      1204
     1570     21471     20248
     1571      2422      2162
     1573     14863     12937
     1574      9307      8508
     1575      1502      1392
     1576      1511      1455
     1577      1491      1397
     1578      1486      1458
     1579      1482      1467
     1580     12672     11701
     1581      1778      1385
     1582     10761      8824
     1583      1190       668
     1584      4943      4740
     1585      8830      8773
     1586     26777     25729
     1587      3486      2979
     1588     12809     12338
     1589     11577     11243
     1590      4848      4651
     1591      8215      7668
     1592     17487      5606
     1593      9386      8884
     1594     27517     27273
     1595      2718      2297
     1596     13680     13305
     1597     15851     14992
     1598      5887      5735
     1599      6177      6332
     1600      6001      6265
     1602     10984     10317
     1604      4574      4175
     1605      1232      1130
     1606      9399      9169
     1607     16909     16499
     1609     11275     10914
     1610      8492      5534
     1611      1719      1604
     1612      1667      1561
     1613      1752      1503
     1615     25606     24942
     1616     21203     19402
     1617      2979      2330
     1618     23699     21717
     1619      7037      6669
     1621      4862      5188
     1622     17745     16049
     1623     16947     16412
     1624     16578     15548
     1625      2060      1779
     1626      7685      6498
     1627     13120     11743
     1628      3364      2771
     1629      4602      4382
     1630      4371      4187
     1631      5670      4659
     1632     22124     22514
     1633      8118      7366
     1634      4903      4590
     1635     19240     18273
     1636      1442      1155
     1637     11035     10202
     1638     15151     13108
     1639      4793      4421
     1641      3819      3407
     1642      7218      6202
     1643     24122     23203
     1644      9811      7953
     1645     12261     10017
     1646      3206      2917
     1647      3022      3020
     1648      3047      2952
     1649      1205      1104
     1650      5432      5383
     1653     10705      9829
